"id","name","address","type","created_by","updated_by","created_at","updated_at","deleted_at"
1,"Embassy of the United Republic of Tanzania Addis Ababa, Ethiopia","ADDIS ABABA",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
2,"Embassy of the United Republic of Tanzania Berlin, Germany","BERLIN",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
3,"Embassy of the United Republic of Tanzania in Egypt, Lebanon, Palestine, Libya, Iraq, Syria and Jordan","CAIRO",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
4,"Embassy of the United Republic of Tanzania Kinshasa, Democratic Republic of Congo (DRC)","KINSHASA",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
5,"High Commission of the United Republic of Tanzania Abuja, Nigeria","ABUJA",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
6,"Tanzania High Commission in the United Kingdom","LONDON",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
7,"High Commission of the United Republic of Tanzania Lusaka, Zambia","LUSAKA",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
8,"High Commission of the United Republic of Tanzania Mozambique, Madagascar and Eswatini","MAPUTO",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
9,"Embassy of the United Republic of Tanzania Moscow, Russia","MOSCOW",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
10,"High Commission of the United Republic of Tanzania New Delhi, India","NEW DELHI",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
11,"Permanent Mission of the United Republic of Tanzania to the United Nations","NEW YORK",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
12,"High Commission of the United Republic of Tanzania Ottawa, Canada","OTTAWA",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
13,"Embassy of the United Republic of Tanzania Paris, France","PARIS",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
14,"Embassy of the United Republic of Tanzania Beijing Beijing, China","BEIJING",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
15,"Embassy of the United Republic of Tanzania Rome, Italy","ROME",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
16,"Embassy of the United Republic of Tanzania, In Nordic Countries, Baltic States & Ukraine","STOCKHOLM",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
17,"Embassy of the United Republic of Tanzania Tokyo, Japan","TOKYO",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
18,"Embassy of the United Republic of Tanzania Washington D.C., USA","WASHINGTON",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
19,"Embassy of the United Republic of Tanzania Brussels, Belgium","BRUSSELS",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
20,"Permanent Mission of the United Republic of Tanzania to the UN Office and other international organizations Geneva, Switzerland","GENEVA",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
21,"High Commission of the United Republic of Tanzania Kampala, Uganda","KAMPALA",NULL,1,1,"2024-11-14 23:01:20","2024-11-14 23:01:20",NULL
